run_name,agent,agent_label,seed,timestep,metric_type,episode_reward,episode_length,evaluation_reward,success_rate,SPS,wall_clock_time,circuit_evaluations,included_in_plots,exclusion_reason
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6576,train_episode,-291.2592422017166,99,,0.0,,1.1341842014487755,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6688,train_episode,-244.023415120401,90,,0.0,,1.1535012073128665,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6776,train_episode,-234.64648389342463,121,,0.0,,1.1686788547775095,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6808,train_episode,-125.31196771333455,124,,0.0,,1.174197999310107,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7056,train_episode,-81.07348783612935,83,,0.0,,1.216971369437737,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7064,train_episode,-328.1424618931719,121,,0.0,,1.2183511555708866,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7248,train_episode,-119.44545294641838,95,,0.0,,1.2500862366333219,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7288,train_episode,-123.68123272579292,88,,0.0,,1.2569851672990686,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7352,train_episode,-231.51967086537604,129,,0.0,,1.2680234563642636,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7384,train_episode,-77.91672157836004,86,,0.0,,1.2735426008968609,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7512,train_episode,-190.35247925850655,91,,0.0,,1.2956191790272509,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7520,train_episode,-99.4643587090427,88,,0.0,,1.2969989651604001,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7784,train_episode,-254.29660844098132,90,,0.0,,1.3425319075543292,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7792,train_episode,-93.75451191304907,62,,0.0,,1.3439116936874784,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7832,train_episode,-230.78668398774172,95,,0.0,,1.3508106243532252,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7880,train_episode,-152.68376019312683,65,,0.0,,1.3590893411521214,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,,training_diagnostic,,,,,4991,,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,8128,train_episode,-258.03540861264094,109,,0.0,,1.4018627112797517,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,8224,train_episode,-183.58715220527822,104,,0.0,,1.418420144877544,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,8328,train_episode,-160.26379742064336,100,,0.0,,1.4363573646084857,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,8400,train_episode,-204.44916918208588,110,,0.0,,1.44877543980683,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,8448,train_episode,-135.05019220512668,70,,0.0,,1.457054156605726,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,8600,train_episode,-170.25505188851264,100,,0.0,,1.483270093135564,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,8680,train_episode,-211.00520459825623,111,,0.0,,1.4970679544670575,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,8696,train_episode,-63.780323856588254,70,,0.0,,1.4998275267333563,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,8792,train_episode,-251.23442498243296,119,,0.0,,1.5163849603311488,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,8952,train_episode,-131.10467176902563,90,,0.0,,1.5439806829941358,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,8960,train_episode,-60.12303713179242,78,,0.0,,1.5453604691272853,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,9144,train_episode,-160.91236023875038,86,,0.0,,1.5770955501897206,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,9280,train_episode,-316.74083635270665,109,,0.0,,1.6005519144532598,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,9464,train_episode,-250.08092785252566,107,,0.0,,1.6322869955156951,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,9536,train_episode,-266.4664787902916,106,,0.0,,1.6447050707140394,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,9784,train_episode,-193.90070355180472,123,,0.0,,1.6874784408416696,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,9840,train_episode,-121.88377775759102,109,,0.0,,1.6971369437737152,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,9896,train_episode,-214.35839079746546,149,,0.0,,1.7067954467057607,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,9968,train_episode,-252.01564556598345,126,,0.0,,1.719213521904105,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,10008,train_episode,-86.2918964138897,90,,0.0,,1.7261124525698517,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,10032,train_episode,-77.00326660450227,61,,0.0,,1.7302518109692997,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,10144,train_episode,-144.95236737150006,124,,0.0,,1.7495688168333907,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,10456,train_episode,-107.38939815506319,83,,0.0,,1.803380476026216,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,10560,train_episode,-86.88365340787595,65,,0.0,,1.8213176957571577,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,10680,train_episode,-82.15767016400204,88,,0.0,,1.842014487754398,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,10776,train_episode,-259.49388733702233,163,,0.0,,1.8585719213521905,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,10776,train_episode,-265.95150019931293,109,,0.0,,1.8585719213521905,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,10784,train_episode,-88.16780227146867,117,,0.0,,1.8599517074853398,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,10792,train_episode,-63.147929657881086,97,,0.0,,1.861331493618489,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,10920,train_episode,-120.98135132855901,96,,0.0,,1.883408071748879,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,11376,train_episode,-248.6413411405381,114,,0.0,,1.9620558813383926,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,11440,train_episode,-235.06109825018393,94,,0.0,,1.9730941704035874,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,11504,train_episode,-241.10452055550505,117,,0.0,,1.9841324594687824,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,11528,train_episode,-81.01223896257761,91,,0.0,,1.9882718178682304,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,11552,train_episode,-85.04044860975007,78,,0.0,,1.9924111762676786,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,11680,train_episode,-88.17119141272774,111,,0.0,,2.0144877543980684,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,11784,train_episode,-129.57913484972534,125,,0.0,,2.03242497412901,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,11808,train_episode,-290.16779286913027,128,,0.0,,2.036564332528458,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,12104,train_episode,-40.710960321017495,74,,0.0,,2.0876164194549847,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,12144,train_episode,-61.907719396146106,73,,0.0,,2.0945153501207314,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,12304,train_episode,-102.15718276474976,96,,0.0,,2.1221110727837185,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,12344,train_episode,-99.83343428828654,82,,0.0,,2.1290100034494652,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,12368,train_episode,-144.20132434961164,123,,0.0,,2.1331493618489135,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,12488,train_episode,-118.40758908843365,84,,0.0,,2.1538461538461537,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,12632,train_episode,-74.59322434495064,148,,0.0,,2.1786823042428423,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,12672,train_episode,-218.9124086597274,110,,0.0,,2.185581234908589,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,12856,train_episode,-144.9609162129457,93,,0.0,,2.2173163159710243,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,12976,train_episode,-100.94389091220401,75,,0.0,,2.238013107968265,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,13064,train_episode,-334.15052267020496,94,,0.0,,2.253190755432908,,no,missing or irregular evaluation rows; missing or irregular checkpoints
